iter	RMSE
0	11174370.81
1	10711612.43
2	10255838.27
3	9832932.903
4	9431875.987
5	9045118.735
6	8679553.922
7	8343112.309
8	8017441.527
9	7703156.151
10	7412798.869
11	7133335.019
12	6872542.975
13	6624311.077
14	6398951.033
15	6182581.964
16	5988706.172
17	5796113.676
18	5618042.258
19	5441920.659
20	5280280.825
21	5124021.308
22	4978257.894
23	4841784.556
24	4701875.483
25	4579658.736
26	4466219.761
27	4357557.808
28	4246072.277
29	4139838.418
30	4037434.721
31	3946815.343
32	3859140.278
33	3781635.626
34	3707644.843
35	3643613.209
36	3576433.42
37	3504530.697
38	3443988.327
39	3384258.183
40	3335369.12
41	3290130.678
42	3245218.067
43	3195006.245
44	3148958.589
45	3110444.524
46	3074219.07
47	3041342.409
48	2999565.978
49	2961483.581
50	2928461.887
51	2898257.834
52	2869381.295
53	2846421.821
54	2814169.764
55	2792052.698
56	2772857.6
57	2752235.649
58	2729072.901
59	2703956.399
60	2678656.153
61	2654385.9
62	2639222.041
63	2624182.553
64	2610162.422
65	2586472.991
66	2570085.593
67	2552241.819
68	2534219.999
69	2512973.874
70	2500223.889
71	2486368.732
72	2471940.037
73	2452328.464
74	2433557.788
75	2423068.049
76	2411330.09
77	2390948.79
78	2380677.978
79	2367649.218
80	2353042.812
81	2339429.874
82	2330198.346
83	2317953.303
84	2304185.476
85	2291883.091
86	2281848.905
87	2270993.075
88	2262002.007
89	2249267.539
90	2239985.083
91	2231010.914
92	2216435.235
93	2201145.501
94	2195156.858
95	2186362.417
96	2171548.298
97	2158082.951
98	2148619.423
99	2140852.505
100	2127850.11
101	2123395.933
102	2109510.411
103	2099104.181
104	2082272.855
105	2076235.561
106	2062659.873
107	2057520.324
108	2049430.93
109	2038943.312
110	2032259.449
111	2024437.643
112	2017885.779
113	2011953.57
114	1999144.357
115	1992452.335
116	1984705.106
117	1980052.293
118	1973611.557
119	1965290.557
120	1958894.147
121	1950338.618
122	1939823.842
123	1933256.784
124	1927168.871
125	1918890.433
126	1909253.965
127	1905771.034
128	1900083.616
129	1893107.912
130	1884569.308
131	1873382.219
132	1865493.093
133	1859757.2
134	1856598.426
135	1847591.165
136	1839511.119
137	1831784.522
138	1827015.698
139	1819457.925
140	1809731.146
141	1800862.694
142	1794703.332
143	1788764.748
144	1782702.044
145	1776775.245
146	1770326.406
147	1761644.739
148	1755203.152
149	1751308.385
150	1743510.241
151	1734801.944
152	1728627.697
153	1724566.506
154	1717605.08
155	1713648.358
156	1709223.174
157	1705714.839
158	1700144.294
159	1694831.459
160	1691596.849
161	1686726.852
162	1683226.914
163	1680258.316
164	1675340.342
165	1670266.892
166	1667507.471
167	1664090.261
168	1660307.125
169	1655272.888
170	1652364.294
171	1647631.42
172	1641254.67
173	1631870.273
174	1627217.138
175	1618969.079
176	1614111.589
177	1607391.253
178	1602493.234
179	1599251.709
180	1596389.037
181	1590393.389
182	1585687.331
183	1581004.246
184	1573354.207
185	1565478.991
186	1561686.421
187	1558647.354
188	1553193.05
189	1549622.445
190	1546030.572
191	1540721.596
192	1536945.354
193	1531143.766
194	1527213.64
195	1523180.661
196	1519526.922
197	1516851.362
198	1514484.564
199	1509837.635
200	1504970.767
201	1501729.736
202	1497422.405
203	1493323.736
204	1491129.193
205	1485199.9
206	1481419.719
207	1476221.243
208	1472473.672
209	1465481.783
210	1462207.496
211	1458772.727
212	1453856.222
213	1450276.616
214	1447029.824
215	1442107.35
216	1438334.704
217	1436193.676
218	1430763.759
219	1424546.827
220	1419693.915
221	1415409.538
222	1412601.586
223	1409556.52
224	1406424.572
225	1400812.448
226	1396603.081
227	1393159.99
228	1390595.936
229	1385327.378
230	1380142.941
231	1375584.77
232	1372403.048
233	1369961.668
234	1367568.206
235	1361723.067
236	1359583.668
237	1356069.174
238	1352557.69
239	1350558.533
240	1346805.092
241	1343553.483
242	1339606.478
243	1337740.705
244	1333349.498
245	1328575.635
246	1325588.029
247	1321980.708
248	1318653.03
249	1313737.515
250	1307605.368
251	1304805.294
252	1300397.478
253	1296662.147
254	1293852.277
255	1291317.82
256	1288207.993
257	1285590.412
258	1282365.094
259	1278443.268
260	1276068.437
261	1271995.22
262	1266510.308
263	1261028.85
264	1258669.321
265	1255433.322
266	1252886.046
267	1249016.134
268	1245958.094
269	1243161.451
270	1240942.472
271	1238186.26
272	1235079.19
273	1233543.224
274	1229673.467
275	1225291.307
276	1221904.878
277	1218443.099
278	1216590.373
279	1213197.767
280	1211438.889
281	1208201.008
282	1204073.112
283	1201962.224
284	1199747.738
285	1197597.246
286	1194605.219
287	1192104.909
288	1187478.475
289	1184726.113
290	1181821.844
291	1179951.883
292	1177877.075
293	1175921.808
294	1172202.516
295	1169444.787
296	1167825.747
297	1164285.457
298	1160906.583
299	1159089.455
