iter	Passed	Remaining
0	10	3036
1	16	2509
2	22	2258
3	29	2191
4	36	2147
5	43	2128
6	50	2132
7	57	2105
8	65	2105
9	73	2138
10	81	2142
11	89	2155
12	97	2159
13	105	2148
14	113	2151
15	120	2134
16	128	2131
17	135	2117
18	143	2119
19	150	2111
20	159	2112
21	166	2102
22	174	2101
23	182	2104
24	192	2113
25	199	2104
26	208	2107
27	215	2095
28	224	2095
29	232	2095
30	242	2102
31	250	2101
32	259	2098
33	267	2092
34	276	2091
35	284	2083
36	293	2087
37	303	2091
38	312	2091
39	321	2090
40	329	2083
41	338	2079
42	347	2075
43	356	2075
44	366	2076
45	375	2072
46	384	2070
47	393	2063
48	402	2061
49	411	2055
50	419	2047
51	427	2038
52	435	2031
53	444	2025
54	452	2017
55	460	2006
56	469	2001
57	476	1988
58	485	1983
59	493	1973
60	502	1967
61	510	1961
62	518	1950
63	526	1942
64	534	1932
65	544	1928
66	553	1925
67	564	1924
68	573	1919
69	582	1913
70	591	1906
71	599	1898
72	608	1890
73	617	1884
74	626	1878
75	633	1866
76	641	1857
77	648	1847
78	656	1837
79	664	1827
80	672	1819
81	680	1809
82	689	1801
83	697	1793
84	707	1788
85	715	1781
86	726	1778
87	736	1774
88	744	1764
89	752	1756
90	760	1747
91	768	1738
92	779	1734
93	789	1730
94	797	1720
95	806	1713
96	816	1708
97	825	1701
98	835	1696
99	844	1688
100	867	1710
101	879	1706
102	890	1703
103	899	1695
104	906	1684
105	915	1675
106	923	1664
107	931	1656
108	939	1646
109	948	1638
110	955	1627
111	965	1620
112	972	1609
113	981	1601
114	989	1592
115	997	1582
116	1007	1575
117	1018	1571
118	1030	1566
119	1037	1556
120	1047	1550
121	1057	1543
122	1066	1534
123	1076	1528
124	1086	1520
125	1095	1513
126	1105	1505
127	1113	1496
128	1121	1487
129	1130	1478
130	1138	1468
131	1146	1459
132	1154	1450
133	1162	1440
134	1171	1431
135	1179	1422
136	1188	1413
137	1197	1406
138	1206	1397
139	1214	1387
140	1223	1379
141	1230	1369
142	1239	1360
143	1246	1350
144	1256	1343
145	1266	1336
146	1275	1327
147	1282	1317
148	1291	1308
149	1299	1299
150	1307	1289
151	1314	1279
152	1322	1270
153	1330	1261
154	1339	1252
155	1347	1243
156	1356	1235
157	1365	1227
158	1372	1217
159	1381	1208
160	1388	1198
161	1397	1190
162	1404	1180
163	1411	1170
164	1418	1160
165	1425	1151
166	1433	1141
167	1441	1132
168	1448	1122
169	1455	1112
170	1462	1103
171	1469	1093
172	1477	1084
173	1484	1074
174	1491	1065
175	1498	1055
176	1506	1046
177	1514	1037
178	1521	1028
179	1528	1019
180	1535	1009
181	1542	1000
182	1550	991
183	1557	981
184	1564	972
185	1572	963
186	1581	955
187	1590	947
188	1599	939
189	1608	931
190	1617	922
191	1626	914
192	1634	905
193	1643	897
194	1651	889
195	1659	880
196	1667	871
197	1676	863
198	1683	854
199	1691	845
200	1698	836
201	1707	828
202	1714	819
203	1722	810
204	1729	801
205	1738	793
206	1745	784
207	1754	775
208	1761	767
209	1769	758
210	1776	749
211	1786	741
212	1794	732
213	1802	724
214	1810	715
215	1818	707
216	1825	698
217	1833	689
218	1840	680
219	1848	672
220	1855	663
221	1863	654
222	1870	645
223	1878	637
224	1887	629
225	1895	620
226	1903	612
227	1911	603
228	1918	594
229	1927	586
230	1934	577
231	1941	569
232	1948	560
233	1956	551
234	1965	543
235	1975	535
236	1983	527
237	1991	518
238	1998	510
239	2006	501
240	2015	493
241	2024	485
242	2032	476
243	2041	468
244	2049	460
245	2057	451
246	2066	443
247	2076	435
248	2085	427
249	2093	418
250	2103	410
251	2113	402
252	2124	394
253	2134	386
254	2143	378
255	2153	370
256	2161	361
257	2171	353
258	2180	345
259	2190	336
260	2200	328
261	2209	320
262	2219	312
263	2230	304
264	2238	295
265	2248	287
266	2256	278
267	2266	270
268	2275	262
269	2286	254
270	2297	245
271	2307	237
272	2318	229
273	2328	220
274	2338	212
275	2349	204
276	2361	196
277	2370	187
278	2381	179
279	2391	170
280	2400	162
281	2410	153
282	2418	145
283	2427	136
284	2436	128
285	2445	119
286	2455	111
287	2464	102
288	2473	94
289	2481	85
290	2491	77
291	2499	68
292	2508	59
293	2516	51
294	2525	42
295	2535	34
296	2544	25
297	2553	17
298	2561	8
299	2570	0
