leading_item_id,following_item_id,lag,p_value,causality_score
AANGBULD,APQGTRMF,7,0.04405986171663015,0.9559401382833699
AANGBULD,BEZYMBBT,1,0.0402427582368345,0.9597572417631655
AANGBULD,DDEXPPXU,6,0.007749231428629135,0.9922507685713708
AANGBULD,DEWLVASR,6,0.005118491864605393,0.9948815081353946
AANGBULD,FCYBOAXC,7,0.07621652198976016,0.9237834780102399
AANGBULD,FTSVTTSR,7,3.5551311195255975e-06,0.9999964448688805
AANGBULD,FWUCPMMW,2,0.03365485143392592,0.9663451485660741
AANGBULD,GKQIJYDH,6,0.012648094244720494,0.9873519057552795
AANGBULD,JSLXRQOK,6,0.013257983844629319,0.9867420161553707
AANGBULD,KJNSOAHR,1,0.050167305355990524,0.9498326946440094
AANGBULD,LLHREMKS,6,1.051522558527766e-05,0.9999894847744147
AANGBULD,LSOIUSXD,2,0.06310380858345813,0.9368961914165419
AANGBULD,LTOYKIML,1,0.011125110703754083,0.9888748892962459
AANGBULD,NAQIHUKZ,2,1.949270821684276e-05,0.9999805072917831
AANGBULD,NZKBIBNU,1,0.03558491092246203,0.9644150890775379
AANGBULD,OJIFIHMZ,4,0.015211258573356479,0.9847887414266435
AANGBULD,OKMBFVKS,7,0.03555347025763315,0.9644465297423669
AANGBULD,OXKURKXR,1,0.0124731028770885,0.9875268971229115
AANGBULD,PYZMVUWD,1,0.08011712966966451,0.9198828703303354
AANGBULD,QKXNTIIB,6,0.03165330938299746,0.9683466906170025
AANGBULD,RCBZUSIM,7,0.024043382011463704,0.9759566179885363
AANGBULD,RJGPVEXX,1,0.0795652951604962,0.9204347048395038
AANGBULD,SAAYMURU,3,0.05595692788786748,0.9440430721121326
AANGBULD,STZDBITS,4,0.007376351054961259,0.9926236489450387
AANGBULD,UQYUIVVR,1,0.04069963531722514,0.9593003646827749
AANGBULD,VUAFAIYJ,3,0.03566595011523684,0.9643340498847631
AANGBULD,WPQXWHYO,1,0.07675096197912312,0.9232490380208769
AANGBULD,XIIEJNEE,7,3.3219128488520654e-05,0.9999667808715115
AANGBULD,ZCELVYQU,7,0.00022549492848423797,0.9997745050715158
AANGBULD,ZGJXVMNI,7,0.029721860822720804,0.9702781391772792
AANGBULD,ZKENOUDA,5,0.0004185377368383999,0.9995814622631616
AHMDUILJ,APQGTRMF,1,0.09250594285278939,0.9074940571472107
AHMDUILJ,ATLDMDBO,4,0.04968780883924749,0.9503121911607525
AHMDUILJ,BSRMSVTC,1,0.012181154692952735,0.9878188453070472
AHMDUILJ,BUZIIBYG,4,0.02571486635173123,0.9742851336482687
AHMDUILJ,CCLHWFWF,4,0.02783316177938016,0.9721668382206199
AHMDUILJ,DUCMGGNW,2,0.0023228501644787453,0.9976771498355212
AHMDUILJ,FRHNWLNI,1,0.06521761342874902,0.934782386571251
AHMDUILJ,HXYSSRXE,5,0.006231803011718893,0.9937681969882811
AHMDUILJ,JERHKLYW,1,0.019406991683775715,0.9805930083162243
AHMDUILJ,JSLXRQOK,4,0.061908890137243294,0.9380911098627567
AHMDUILJ,KEUWZRKO,3,0.08331409798188887,0.9166859020181112
AHMDUILJ,KJNSOAHR,5,0.07981051512501808,0.9201894848749819
AHMDUILJ,LUENUFGA,1,0.045852472178207045,0.9541475278217929
AHMDUILJ,OJIFIHMZ,7,0.0854574750502728,0.9145425249497272
AHMDUILJ,QJQJSWFU,1,0.06758322813080028,0.9324167718691997
AHMDUILJ,RAWUKQMJ,4,0.0784435285701453,0.9215564714298548
AHMDUILJ,SAHWCZNH,1,0.04748990360646094,0.9525100963935391
AHMDUILJ,UXSPKBJR,4,0.025251101971832106,0.9747488980281679
AHMDUILJ,WPQXWHYO,4,0.0800573666739687,0.9199426333260313
AHMDUILJ,WQMVCOEM,6,0.02161190068828915,0.9783880993117109
AHMDUILJ,XIIEJNEE,2,0.027874917922352423,0.9721250820776476
AHMDUILJ,YSYHGLQK,1,0.009527028346194186,0.9904729716538058
APQGTRMF,BEZYMBBT,1,0.002560402992466858,0.9974395970075332
APQGTRMF,BJALXPFS,7,0.019625387308217387,0.9803746126917826
APQGTRMF,BSRMSVTC,1,0.06771339975187014,0.9322866002481298
APQGTRMF,BTMOEMEP,2,0.019495127954957298,0.9805048720450427
APQGTRMF,DEWLVASR,1,0.03819816227780869,0.9618018377221913
APQGTRMF,DJBLNPNC,1,0.00871575574430607,0.991284244255694
APQGTRMF,DUCMGGNW,6,0.010695605732996383,0.9893043942670037
APQGTRMF,FCYBOAXC,2,0.08975171028335384,0.9102482897166462
APQGTRMF,FDXPMYGF,6,0.04015280965070702,0.959847190349293
APQGTRMF,FQCLOEXA,7,0.054985729503993386,0.9450142704960066
APQGTRMF,FTSVTTSR,2,0.02836609344582151,0.9716339065541785
APQGTRMF,GKQIJYDH,7,0.0077837149542704905,0.9922162850457296
APQGTRMF,GYHKIVQT,1,0.03568161102269656,0.9643183889773035
APQGTRMF,HCDTGMST,4,0.07538136772418924,0.9246186322758108
APQGTRMF,HXYSSRXE,6,0.02831507020818475,0.9716849297918152
APQGTRMF,IGDVVKUD,1,0.06465516131639555,0.9353448386836044
APQGTRMF,JERHKLYW,7,0.03297096312768282,0.9670290368723172
APQGTRMF,JPBRUTWP,1,0.008402244646956348,0.9915977553530436
APQGTRMF,KJNSOAHR,2,0.01420030589574708,0.9857996941042529
APQGTRMF,LTOYKIML,4,0.09525022566957764,0.9047497743304224
APQGTRMF,MBSBZBXA,1,0.018196195778461693,0.9818038042215383
APQGTRMF,OGAFEHLU,4,0.05461113557031179,0.9453888644296882
APQGTRMF,OJIFIHMZ,6,0.05965283055568258,0.9403471694443174
APQGTRMF,OKMBFVKS,1,0.0014296745392504164,0.9985703254607495
APQGTRMF,OXKURKXR,2,0.051923001758185684,0.9480769982418144
APQGTRMF,QRKRBYJL,1,0.06502668631458776,0.9349733136854123
APQGTRMF,RAWUKQMJ,4,0.015733484288865028,0.984266515711135
APQGTRMF,RCBZUSIM,2,0.005835619982021676,0.9941643800179784
APQGTRMF,ROACSLMG,1,0.007006934143938356,0.9929930658560616
APQGTRMF,SNHYOVBM,6,0.03995099468316388,0.9600490053168361
APQGTRMF,TGOELCAG,1,0.06199663959118682,0.9380033604088132
APQGTRMF,UIFPPCLR,1,0.0007351450820566549,0.9992648549179434
APQGTRMF,UQYUIVVR,7,0.018196087212741182,0.9818039127872589
APQGTRMF,VMAQSTJE,4,0.014908559870989296,0.9850914401290107
APQGTRMF,WHPUAOID,3,0.0019849643809677795,0.9980150356190323
APQGTRMF,WPQXWHYO,7,0.026706812865084816,0.9732931871349152
APQGTRMF,XMKRPGLB,7,0.0803629835224867,0.9196370164775133
APQGTRMF,XUOIQPFL,5,0.07186143899492145,0.9281385610050785
APQGTRMF,YSYHGLQK,2,0.009484457543350668,0.9905155424566493
APQGTRMF,ZGJXVMNI,2,0.07871756034296662,0.9212824396570334
APQGTRMF,ZXERAXWP,1,0.07854518471812423,0.9214548152818758
ATLDMDBO,AXULOHBQ,7,0.0037906957379637836,0.9962093042620362
ATLDMDBO,BEZYMBBT,1,0.01998304845647557,0.9800169515435244
ATLDMDBO,BJALXPFS,7,0.006978583562674518,0.9930214164373254
ATLDMDBO,BLANHGYY,7,0.001392882927536913,0.9986071170724631
ATLDMDBO,BSRMSVTC,7,0.020733537291983267,0.9792664627080168
ATLDMDBO,BTMOEMEP,1,5.635339343300622e-05,0.999943646606567
