leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,389647
AANGBULD,DEWLVASR,589098
AANGBULD,DNMPSKTB,5217866
AANGBULD,EVBVXETX,5087125
AANGBULD,FTSVTTSR,303428
AANGBULD,GKQIJYDH,1819329
AANGBULD,GYHKIVQT,18520652
AANGBULD,KJNSOAHR,11619751
AANGBULD,LLHREMKS,270606
AANGBULD,NAQIHUKZ,194391
AANGBULD,OKMBFVKS,2266711
AANGBULD,SDWAYPIK,5619644
AANGBULD,UIFPPCLR,428028
AANGBULD,VUAFAIYJ,667737
AANGBULD,ZCELVYQU,229192
AANGBULD,ZKENOUDA,474534
AHMDUILJ,APQGTRMF,286535
AHMDUILJ,ATLDMDBO,44704040
AHMDUILJ,BUZIIBYG,15318358
AHMDUILJ,DUCMGGNW,884508
AHMDUILJ,LRVGFDFM,6282676
AHMDUILJ,QRKRBYJL,2320194
AHMDUILJ,RAWUKQMJ,3854032
AHMDUILJ,UXSPKBJR,712077
AHMDUILJ,WPQXWHYO,10552630
AHMDUILJ,XIIEJNEE,241830
APQGTRMF,ATLDMDBO,44691880
APQGTRMF,AXULOHBQ,287168
APQGTRMF,BEZYMBBT,3550404
APQGTRMF,BSRMSVTC,469621
APQGTRMF,BTMOEMEP,12423375
APQGTRMF,DBWLZWNK,383247
APQGTRMF,DJBLNPNC,206322
APQGTRMF,DNMPSKTB,5107350
APQGTRMF,DUCMGGNW,909136
APQGTRMF,FDXPMYGF,232072
APQGTRMF,GYHKIVQT,18385644
APQGTRMF,HXYSSRXE,5599331
APQGTRMF,JPBRUTWP,5523669
APQGTRMF,OGAFEHLU,264111
APQGTRMF,OKMBFVKS,2105079
APQGTRMF,OXKURKXR,277485
APQGTRMF,QRKRBYJL,2288070
APQGTRMF,QVLMOEYE,1326234
APQGTRMF,RAWUKQMJ,3844040
APQGTRMF,RCBZUSIM,202221
APQGTRMF,SDWAYPIK,5508446
APQGTRMF,UIFPPCLR,277108
APQGTRMF,VMAQSTJE,264466
APQGTRMF,WBLJNPZQ,377421
APQGTRMF,WHPUAOID,237586
APQGTRMF,XUOIQPFL,2785984
APQGTRMF,YSYHGLQK,323563
APQGTRMF,ZGJXVMNI,2593601
ATLDMDBO,APQGTRMF,153855
ATLDMDBO,AXULOHBQ,153544
ATLDMDBO,BSRMSVTC,282813
ATLDMDBO,BTMOEMEP,12296367
ATLDMDBO,DBWLZWNK,231479
ATLDMDBO,DEWLVASR,581898
ATLDMDBO,DNMPSKTB,4900852
ATLDMDBO,FQCLOEXA,1826385
ATLDMDBO,GYHKIVQT,18192220
ATLDMDBO,HXYSSRXE,5487559
ATLDMDBO,IGDVVKUD,110527
ATLDMDBO,JPBRUTWP,5411207
ATLDMDBO,LPHPPJUG,1305717
ATLDMDBO,LRVGFDFM,6150932
ATLDMDBO,OGAFEHLU,121455
ATLDMDBO,OKMBFVKS,2051611
ATLDMDBO,OXKURKXR,150741
ATLDMDBO,QRKRBYJL,2150764
ATLDMDBO,QVLMOEYE,1187206
ATLDMDBO,RAWUKQMJ,3737740
ATLDMDBO,RCBZUSIM,101693
ATLDMDBO,SDWAYPIK,5346888
ATLDMDBO,UGEQLMXM,138006
ATLDMDBO,UXSPKBJR,603157
ATLDMDBO,VBYCLTYZ,385222
ATLDMDBO,XUOIQPFL,2666068
ATLDMDBO,ZGJXVMNI,2450129
ATLDMDBO,ZKENOUDA,522598
AXULOHBQ,BJALXPFS,315188
AXULOHBQ,BSRMSVTC,432581
AXULOHBQ,DNMPSKTB,5107756
AXULOHBQ,EVBVXETX,5201131
AXULOHBQ,FDXPMYGF,189296
AXULOHBQ,FQCLOEXA,1995761
AXULOHBQ,HCDTGMST,260057
AXULOHBQ,HXYSSRXE,5592981
AXULOHBQ,KEUWZRKO,558808
AXULOHBQ,LUENUFGA,4032687
AXULOHBQ,NZKBIBNU,573368
AXULOHBQ,OGAFEHLU,254207
AXULOHBQ,OKMBFVKS,2147787
AXULOHBQ,PYZMVUWD,211659
AXULOHBQ,RJGPVEXX,858567
AXULOHBQ,SAHWCZNH,1719339
AXULOHBQ,UXSPKBJR,832453
AXULOHBQ,VMAQSTJE,266194
AXULOHBQ,WBLJNPZQ,374765
AXULOHBQ,WPQXWHYO,10688310
AXULOHBQ,XIFHSOWQ,308835
AXULOHBQ,XUOIQPFL,2787872
AXULOHBQ,ZGJXVMNI,2592765
AXULOHBQ,ZKENOUDA,636022
BEZYMBBT,ATLDMDBO,44710024
BEZYMBBT,DBWLZWNK,351199
BEZYMBBT,DNMPSKTB,5112588
BEZYMBBT,ELQGMQWE,835046
BEZYMBBT,GYHKIVQT,18389996
BEZYMBBT,HXYSSRXE,5574414
BEZYMBBT,JPBRUTWP,5533821
BEZYMBBT,KJNSOAHR,11728231
BEZYMBBT,OKMBFVKS,2130683
BEZYMBBT,QRKRBYJL,2309960
BEZYMBBT,RAWUKQMJ,3822956
BEZYMBBT,RCBZUSIM,226197
BEZYMBBT,RJGPVEXX,814855
BEZYMBBT,SDWAYPIK,5488742
BEZYMBBT,WBLJNPZQ,374205
BEZYMBBT,XMKRPGLB,1094270
BEZYMBBT,ZKENOUDA,622462
BJALXPFS,DNMPSKTB,5084594
BJALXPFS,GYHKIVQT,18402684
BJALXPFS,KEUWZRKO,578224
BJALXPFS,LTOYKIML,689476
BJALXPFS,OGAFEHLU,263103
BJALXPFS,QRKRBYJL,2296902
BJALXPFS,QVLMOEYE,1361370
BJALXPFS,RCBZUSIM,227925
BJALXPFS,RJGPVEXX,852087
BJALXPFS,SDWAYPIK,5503014
BJALXPFS,SNHYOVBM,390481
BJALXPFS,UGEQLMXM,345374
BJALXPFS,VMAQSTJE,275018
BLANHGYY,AXULOHBQ,261256
BLANHGYY,BJALXPFS,324212
BLANHGYY,BSRMSVTC,397405
BLANHGYY,DNMPSKTB,5115992
BLANHGYY,EVBVXETX,5190700
BLANHGYY,FDXPMYGF,168560
BLANHGYY,FITUEHWN,286866
BLANHGYY,FQCLOEXA,2023045
BLANHGYY,HCDTGMST,237977
BLANHGYY,HXYSSRXE,5581929
BLANHGYY,JBVHSUWY,502861
BLANHGYY,KEUWZRKO,556944
BLANHGYY,LPHPPJUG,1447641
BLANHGYY,LRVGFDFM,6288100
BLANHGYY,OGAFEHLU,241231
BLANHGYY,PYZMVUWD,212611
BLANHGYY,SAHWCZNH,1735107
BLANHGYY,SUOYXCHP,199093
BLANHGYY,TGOELCAG,258274
BLANHGYY,UQYUIVVR,3649780
BLANHGYY,VMAQSTJE,244602
BLANHGYY,WBLJNPZQ,358149
BLANHGYY,WPQXWHYO,10688262
BLANHGYY,WQMVCOEM,260154
BLANHGYY,XUOIQPFL,2798956
BSRMSVTC,BEZYMBBT,3570848
BSRMSVTC,EVBVXETX,5166225
BSRMSVTC,FITUEHWN,255378
BSRMSVTC,HCDTGMST,230969
BSRMSVTC,JBVHSUWY,490077
BSRMSVTC,JPBRUTWP,5539931
BSRMSVTC,KEUWZRKO,550576
BSRMSVTC,LSOIUSXD,372005
BSRMSVTC,LUENUFGA,4028993
BSRMSVTC,OGAFEHLU,234079
BSRMSVTC,PYZMVUWD,213011
BSRMSVTC,RJGPVEXX,863983
BSRMSVTC,ROACSLMG,2383431
BSRMSVTC,STZDBITS,20993773
BSRMSVTC,TGOELCAG,236474
BSRMSVTC,UIFPPCLR,308588
BSRMSVTC,VMAQSTJE,230858
BSRMSVTC,WPQXWHYO,10665742
BSRMSVTC,XIFHSOWQ,292355
BSRMSVTC,XUOIQPFL,2773876
BTMOEMEP,APQGTRMF,220655
BTMOEMEP,ATLDMDBO,44656776
BTMOEMEP,BLANHGYY,193903
BTMOEMEP,BSRMSVTC,433869
BTMOEMEP,DBWLZWNK,323215
BTMOEMEP,DNMPSKTB,5056944
BTMOEMEP,FRHNWLNI,1151300
BTMOEMEP,GYHKIVQT,18337660
BTMOEMEP,HXYSSRXE,5544626
BTMOEMEP,IGDVVKUD,198855
BTMOEMEP,JBVHSUWY,475877
BTMOEMEP,JPBRUTWP,5478137
BTMOEMEP,LPHPPJUG,1457149
BTMOEMEP,LRVGFDFM,6226004
BTMOEMEP,OGAFEHLU,208935
BTMOEMEP,OKMBFVKS,2080667
BTMOEMEP,OXKURKXR,235501
BTMOEMEP,QRKRBYJL,2274194
BTMOEMEP,QVLMOEYE,1304274
BTMOEMEP,RAWUKQMJ,3784574
BTMOEMEP,RCBZUSIM,186181
BTMOEMEP,SDWAYPIK,5441612
BTMOEMEP,UGEQLMXM,273150
BTMOEMEP,UXSPKBJR,675845
BTMOEMEP,VBYCLTYZ,468814
BTMOEMEP,WBLJNPZQ,327909
BTMOEMEP,WQMVCOEM,213378
BTMOEMEP,XIIEJNEE,186166
BTMOEMEP,XUOIQPFL,2738548
BUZIIBYG,BTMOEMEP,12364911
BUZIIBYG,DJBLNPNC,154722
BUZIIBYG,FDXPMYGF,162328
BUZIIBYG,FRHNWLNI,1127652
BUZIIBYG,FWUCPMMW,131801
BUZIIBYG,RJGPVEXX,665151
BUZIIBYG,SAHWCZNH,1787383
BUZIIBYG,UXSPKBJR,663853
BUZIIBYG,WPQXWHYO,10487222
BUZIIBYG,ZXERAXWP,198197
CCLHWFWF,DBWLZWNK,300495
CCLHWFWF,DUCMGGNW,903388
CCLHWFWF,FCYBOAXC,107703350
CCLHWFWF,FQCLOEXA,1785001
CCLHWFWF,FWUCPMMW,116017
CCLHWFWF,LRVGFDFM,6225816
CCLHWFWF,LSOIUSXD,243061
CCLHWFWF,LTOYKIML,470036
CCLHWFWF,OGAFEHLU,172911
CCLHWFWF,VBYCLTYZ,427070
CCLHWFWF,VUAFAIYJ,764929
CCLHWFWF,VWMBASNE,319721
CCLHWFWF,WHPUAOID,145978
DBWLZWNK,APQGTRMF,250511
DBWLZWNK,ATLDMDBO,44700648
DBWLZWNK,AXULOHBQ,280368
DBWLZWNK,BTMOEMEP,12432815
DBWLZWNK,ELQGMQWE,851482
DBWLZWNK,FRHNWLNI,1190908
DBWLZWNK,FWUCPMMW,216401
DBWLZWNK,GYHKIVQT,18387788
DBWLZWNK,IGDVVKUD,237631
DBWLZWNK,JBVHSUWY,509061
DBWLZWNK,JPBRUTWP,5536775
DBWLZWNK,LRVGFDFM,6262252
DBWLZWNK,LSOIUSXD,371789
DBWLZWNK,QRKRBYJL,2288950
DBWLZWNK,QVLMOEYE,1317686
DBWLZWNK,RCBZUSIM,203701
DBWLZWNK,UXSPKBJR,710989
DBWLZWNK,VBYCLTYZ,515406
DBWLZWNK,WHPUAOID,260562
DDEXPPXU,JERHKLYW,339337
DDEXPPXU,NZKBIBNU,441584
DEWLVASR,APQGTRMF,385751
DEWLVASR,BEZYMBBT,3680128
DEWLVASR,DNMPSKTB,5202372
DEWLVASR,ELQGMQWE,736298
DEWLVASR,EVBVXETX,5083064
DEWLVASR,GYHKIVQT,18518220
DEWLVASR,JPBRUTWP,5642075
DEWLVASR,KJNSOAHR,11601991
DEWLVASR,OGAFEHLU,350975
DEWLVASR,OKMBFVKS,2257871
DEWLVASR,RAWUKQMJ,3952116
DEWLVASR,SDWAYPIK,5612392
DEWLVASR,UIFPPCLR,411204
DEWLVASR,VMAQSTJE,399490
DEWLVASR,WPQXWHYO,10524614
DEWLVASR,XUOIQPFL,2903060
DEWLVASR,ZCELVYQU,214792
DEWLVASR,ZGJXVMNI,2488105
DEWLVASR,ZKENOUDA,489198
DEWLVASR,ZXERAXWP,224605
DJBLNPNC,AXULOHBQ,263848
DJBLNPNC,BLANHGYY,202231
DJBLNPNC,BSRMSVTC,422501
DJBLNPNC,FDXPMYGF,166680
DJBLNPNC,MBSBZBXA,4334960
DJBLNPNC,ROACSLMG,2412311
DJBLNPNC,SUOYXCHP,220045
DJBLNPNC,UQYUIVVR,3649972
DJBLNPNC,UXSPKBJR,714829
DJBLNPNC,WBLJNPZQ,374229
DJBLNPNC,WHPUAOID,223450
DJBLNPNC,WQMVCOEM,259570
DNMPSKTB,AANGBULD,554109
DNMPSKTB,APQGTRMF,235807
DNMPSKTB,ATLDMDBO,44656296
DNMPSKTB,AXULOHBQ,270240
DNMPSKTB,DBWLZWNK,342391
DNMPSKTB,DEWLVASR,722266
DNMPSKTB,ELQGMQWE,841918
DNMPSKTB,EVBVXETX,5195783
DNMPSKTB,FQCLOEXA,2013861
DNMPSKTB,GYHKIVQT,18363836
DNMPSKTB,HXYSSRXE,5577199
DNMPSKTB,IGDVVKUD,233239
DNMPSKTB,JPBRUTWP,5495281
DNMPSKTB,KJNSOAHR,11714663
DNMPSKTB,LPHPPJUG,1469125
DNMPSKTB,LRVGFDFM,6228488
DNMPSKTB,OGAFEHLU,202703
DNMPSKTB,OKMBFVKS,2090155
DNMPSKTB,OXKURKXR,250157
DNMPSKTB,QJQJSWFU,334214
DNMPSKTB,QRKRBYJL,2262758
DNMPSKTB,QVLMOEYE,1301574
DNMPSKTB,RAWUKQMJ,3826474
DNMPSKTB,RCBZUSIM,193925
DNMPSKTB,RJGPVEXX,846119
DNMPSKTB,SDWAYPIK,5458616
DNMPSKTB,UGEQLMXM,280790
DNMPSKTB,UIFPPCLR,298372
DNMPSKTB,VBYCLTYZ,500934
DNMPSKTB,VWMBASNE,440193
